Data_ID,PMID,Model,Prompt_ID,E1,E2,True_Label,Pred_Label,Raw_Output
0,8701013,gemma3:270m,1,famotidine,delirium,cid,Yes,"Item 1: Yes
"
1,8701013,gemma3:270m,1,famotidine,ulcers,none,Yes,"Item 1: Yes
"
2,439781,gemma3:270m,1,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,1,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,1,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,1,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,1,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,1,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
8,22836123,gemma3:270m,1,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No"
9,22836123,gemma3:270m,1,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,1,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
11,22836123,gemma3:270m,1,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
12,22836123,gemma3:270m,1,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
13,22836123,gemma3:270m,1,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No"
14,22836123,gemma3:270m,1,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
15,22836123,gemma3:270m,1,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No"
16,22836123,gemma3:270m,1,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
17,22836123,gemma3:270m,1,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
18,22836123,gemma3:270m,1,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No"
19,22836123,gemma3:270m,1,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No"
0,8701013,gemma3:270m,2,famotidine,delirium,cid,Yes,"Item 1: Yes
"
1,8701013,gemma3:270m,2,famotidine,ulcers,none,Yes,"Item 1: Yes
Item 2: No
"
2,439781,gemma3:270m,2,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,2,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,2,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,2,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,2,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,2,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
8,22836123,gemma3:270m,2,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No"
9,22836123,gemma3:270m,2,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,2,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
11,22836123,gemma3:270m,2,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
12,22836123,gemma3:270m,2,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
13,22836123,gemma3:270m,2,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No
"
14,22836123,gemma3:270m,2,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No"
15,22836123,gemma3:270m,2,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No
"
16,22836123,gemma3:270m,2,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
17,22836123,gemma3:270m,2,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
18,22836123,gemma3:270m,2,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No
"
19,22836123,gemma3:270m,2,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No"
0,8701013,gemma3:270m,3,famotidine,delirium,cid,Yes,"Item 1: Yes
Item 2: No"
1,8701013,gemma3:270m,3,famotidine,ulcers,none,Yes,"Item 1: Yes
"
2,439781,gemma3:270m,3,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,3,sodium,hypotension,none,Yes,"Item 1: Yes
"
4,439781,gemma3:270m,3,idm,hypotension,cid,Yes,"Item 1: Yes
"
5,439781,gemma3:270m,3,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,3,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,3,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
8,22836123,gemma3:270m,3,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No"
9,22836123,gemma3:270m,3,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,3,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No"
11,22836123,gemma3:270m,3,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
12,22836123,gemma3:270m,3,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
13,22836123,gemma3:270m,3,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No"
14,22836123,gemma3:270m,3,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No"
15,22836123,gemma3:270m,3,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No"
16,22836123,gemma3:270m,3,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No"
17,22836123,gemma3:270m,3,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No"
18,22836123,gemma3:270m,3,corticosteroid,src,none,Yes,"Item 1: Yes
Item 2: No"
19,22836123,gemma3:270m,3,corticosteroid,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No"
0,8701013,gemma3:270m,4,famotidine,delirium,cid,Yes,"Item 1: Yes
Item 2: No
"
1,8701013,gemma3:270m,4,famotidine,ulcers,none,Yes,"Item 1: Yes
Item 2: No
"
2,439781,gemma3:270m,4,indomethacin,hypotension,cid,Yes,"Item 1: Yes
"
3,439781,gemma3:270m,4,sodium,hypotension,none,Parse_Error,
4,439781,gemma3:270m,4,idm,hypotension,cid,Parse_Error,
5,439781,gemma3:270m,4,prostaglandin,hypotension,none,Yes,"Item 1: Yes
"
6,439781,gemma3:270m,4,angiotensin,hypotension,none,Yes,"Item 1: Yes
"
7,22836123,gemma3:270m,4,tacrolimus,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
8,22836123,gemma3:270m,4,tacrolimus,src,none,Yes,"Item 1: Yes
Item 2: No"
9,22836123,gemma3:270m,4,tacrolimus,systemic sclerosis,cid,Yes,"Item 1: Yes
Item 2: No
"
10,22836123,gemma3:270m,4,tacrolimus,ssc,cid,Yes,"Item 1: Yes
Item 2: No
"
11,22836123,gemma3:270m,4,tacrolimus,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
12,22836123,gemma3:270m,4,prednisolone,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
13,22836123,gemma3:270m,4,prednisolone,src,none,Yes,"Item 1: Yes
Item 2: No
"
14,22836123,gemma3:270m,4,prednisolone,systemic sclerosis,none,Yes,"Item 1: Yes
Item 2: No
"
15,22836123,gemma3:270m,4,prednisolone,ssc,none,Yes,"Item 1: Yes
Item 2: No
"
16,22836123,gemma3:270m,4,prednisolone,thrombotic microangiopathy,none,Yes,"Item 1: Yes
Item 2: No
"
17,22836123,gemma3:270m,4,corticosteroid,scleroderma renal crisis,none,Yes,"Item 1: Yes
Item 2: No
"
